ID	DatasetID	Ref	Species	Technology	#Experimental	#Control	Stars count	genesStar	detectedStar	degsStar	ratioStar	fcBinsStar	pvalStar	adjpStar	DescrContrast
GSE1724|||IPF/TGFb_vs_Ctrl/TGFb	GSE1724	Gene expression profiling reveals novel TGFbeta targets in adult lung fibroblasts.	Homo sapiens	Expression profiling by array	3	3	0	0	0	0	0	0	0	0	IPF/TGFb_vs_Ctrl/TGFb
GSE1724|||IPF/TGFb_vs_IPF	GSE1724	Gene expression profiling reveals novel TGFbeta targets in adult lung fibroblasts.	Homo sapiens	Expression profiling by array	3	3	1	0	0	0	0	0	0	1	IPF/TGFb_vs_IPF
GSE17518|||Ctrl/TGFb_vs_Ctrl	GSE17518	NADPH oxidase-4 mediates myofibroblast activation and fibrogenic responses to lung injury.	Homo sapiens	Expression profiling by array	3	3	5	1	0	1	1	0	1	1	Ctrl/TGFb_vs_Ctrl
GSE21369|||IPF_vs_Ctrl	GSE21369	Systems biology of interstitial lung diseases: integration of mRNA and microRNA expression changes.	Homo sapiens	Expression profiling by array	11	6	4	0	1	1	0	0	1	1	IPF_vs_Ctrl
GSE24206|||AdvancedIPF_vs_Ctrl	GSE24206	Bayesian probit regression model for the diagnosis of pulmonary fibrosis: proof-of-principle.	Homo sapiens	Expression profiling by array	8	6	6	1	1	1	0	1	1	1	AdvancedIPF_vs_Ctrl
GSE24206|||AdvancedIPF_vs_EarlyIPF	GSE24206	Bayesian probit regression model for the diagnosis of pulmonary fibrosis: proof-of-principle.	Homo sapiens	Expression profiling by array	8	6	4	0	1	1	1	0	1	0	AdvancedIPF_vs_EarlyIPF
GSE24206|||EarlyIPF_vs_Ctrl	GSE24206	Bayesian probit regression model for the diagnosis of pulmonary fibrosis: proof-of-principle.	Homo sapiens	Expression profiling by array	8	6	6	1	1	1	0	1	1	1	EarlyIPF_vs_Ctrl
GSE24206|||IPF_vs_Ctrl	GSE24206	Bayesian probit regression model for the diagnosis of pulmonary fibrosis: proof-of-principle.	Homo sapiens	Expression profiling by array	8	6	5	1	1	0	0	1	1	1	IPF_vs_Ctrl
GSE28042|||IPF_vs_Ctrl	GSE28042	Peripheral blood mononuclear cell gene expression profiles predict poor outcome in idiopathic pulmonary fibrosis.	Homo sapiens	Expression profiling by array	57	15	3	0	1	1	0	0	0	1	IPF_vs_Ctrl
GSE31934|||IPF_vs_Ctrl	GSE31934	-	Homo sapiens	Expression profiling by array	3	3	4	0	0	1	0	1	1	1	IPF_vs_Ctrl
GSE32537|||IPF_vs_Ctrl	GSE32537	Expression of cilium-associated genes defines novel molecular subtypes of idiopathic pulmonary fibrosis.	Homo sapiens	Expression profiling by array	115	44	3	1	1	0	1	0	0	0	IPF_vs_Ctrl
GSE33566|||IPF_vs_Ctrl	GSE33566	The peripheral blood transcriptome identifies the presence and extent of disease in idiopathic pulmonary fibrosis.	Homo sapiens	Expression profiling by array	84	8	4	1	1	0	1	0	0	1	IPF_vs_Ctrl
GSE35145|||AdvancedIPF_vs_Ctrl	GSE35145	Altered DNA methylation profile in idiopathic pulmonary fibrosis.	Homo sapiens	Expression profiling by array	4	4	5	1	1	1	1	0	1	0	AdvancedIPF_vs_Ctrl
GSE40839|||IPF_vs_Ctrl	GSE40839	Microarray profiling reveals suppressed interferon stimulated gene program in fibroblasts from scleroderma-associated interstitial lung disease.	Homo sapiens	Expression profiling by array	3	10	4	1	1	1	1	0	0	0	IPF_vs_Ctrl
GSE44723|||SlowIPF_vs_Ctrl	GSE44723	Bleomycin induces molecular changes directly relevant to idiopathic pulmonary fibrosis: a model for active disease.	Homo sapiens	Expression profiling by array	6	4	2	0	1	0	0	0	1	0	SlowIPF_vs_Ctrl
GSE45251|||Ctrl/TNFa_vs_Ctrl	GSE45251	Inflammatory responses of airway smooth muscle cells and effects of endothelin receptor antagonism.	Homo sapiens	Expression profiling by array	8	8	4	1	1	0	0	1	0	1	Ctrl/TNFa_vs_Ctrl
GSE45686|||Ctrl/IPFMedium_vs_Ctrl/CtrlMedium	GSE45686	Fibrotic extracellular matrix activates a profibrotic positive feedback loop.	Homo sapiens	Expression profiling by array	3	5	0	0	0	0	0	0	0	0	Ctrl/IPFMedium_vs_Ctrl/CtrlMedium
GSE45686|||IPF/CtrlMedium_vs_Ctrl/CtrlMedium	GSE45686	Fibrotic extracellular matrix activates a profibrotic positive feedback loop.	Homo sapiens	Expression profiling by array	5	5	0	0	0	0	0	0	0	0	IPF/CtrlMedium_vs_Ctrl/CtrlMedium
GSE45686|||IPF/IPFMedium_vs_Ctrl/IPFMedium	GSE45686	Fibrotic extracellular matrix activates a profibrotic positive feedback loop.	Homo sapiens	Expression profiling by array	4	3	0	0	0	0	0	0	0	0	IPF/IPFMedium_vs_Ctrl/IPFMedium
GSE45686|||IPF/IPFMedium_vs_IPF/CtrlMedium	GSE45686	Fibrotic extracellular matrix activates a profibrotic positive feedback loop.	Homo sapiens	Expression profiling by array	4	5	1	0	0	0	0	0	0	1	IPF/IPFMedium_vs_IPF/CtrlMedium
GSE47460_A|||IPF_vs_Ctrl	GSE47460_A	Integrative phenotyping framework (iPF): integrative clustering of multiple omics data identifies novel lung disease subphenotypes.	Homo sapiens	Expression profiling by array	28	15	4	1	1	0	1	1	0	0	IPF_vs_Ctrl
GSE47460_B|||IPF_vs_Ctrl	GSE47460_B	Integrative phenotyping framework (iPF): integrative clustering of multiple omics data identifies novel lung disease subphenotypes.	Homo sapiens	Expression profiling by array	84	75	4	1	1	0	1	1	0	0	IPF_vs_Ctrl
GSE47542|||IL-13Matr_vs_UntreatedMatr	GSE47542	Endogenously expressed IL-13Rα2 attenuates IL-13-mediated responses but does not activate signaling in human lung fibroblasts.	Homo sapiens	Expression profiling by array	3	3	5	0	1	1	0	1	1	1	IL-13Matr_vs_UntreatedMatr
GSE47542|||IL-13Plast_vs_UntreatedPlast	GSE47542	Endogenously expressed IL-13Rα2 attenuates IL-13-mediated responses but does not activate signaling in human lung fibroblasts.	Homo sapiens	Expression profiling by array	3	2	2	0	1	1	0	0	0	0	IL-13Plast_vs_UntreatedPlast
GSE47542|||IL-4Matr_vs_UntreatedMatr	GSE47542	Endogenously expressed IL-13Rα2 attenuates IL-13-mediated responses but does not activate signaling in human lung fibroblasts.	Homo sapiens	Expression profiling by array	3	3	5	0	1	1	0	1	1	1	IL-4Matr_vs_UntreatedMatr
GSE47542|||IL-4Plast_vs_UntreatedPlast	GSE47542	Endogenously expressed IL-13Rα2 attenuates IL-13-mediated responses but does not activate signaling in human lung fibroblasts.	Homo sapiens	Expression profiling by array	3	2	2	0	1	1	0	0	0	0	IL-4Plast_vs_UntreatedPlast
GSE47542|||TNFaMatr_vs_UntreatedMatr	GSE47542	Endogenously expressed IL-13Rα2 attenuates IL-13-mediated responses but does not activate signaling in human lung fibroblasts.	Homo sapiens	Expression profiling by array	3	3	4	1	1	0	0	0	1	1	TNFaMatr_vs_UntreatedMatr
GSE47542|||TNFaPlast_vs_UntreatedPlast	GSE47542	Endogenously expressed IL-13Rα2 attenuates IL-13-mediated responses but does not activate signaling in human lung fibroblasts.	Homo sapiens	Expression profiling by array	3	2	6	1	1	1	1	0	1	1	TNFaPlast_vs_UntreatedPlast
GSE48149|||IPF_vs_Ctrl	GSE48149	Lung tissues in patients with systemic sclerosis have gene expression patterns unique to pulmonary fibrosis and pulmonary hypertension.	Homo sapiens	Expression profiling by array	12	5	6	1	1	1	0	1	1	1	IPF_vs_Ctrl
GSE49072|||IPF_vs_Ctrl	GSE49072	Syndecan-2 exerts antifibrotic effects by promoting caveolin-1-mediated transforming growth factor-β receptor I internalization and inhibiting transforming growth factor-β1 signaling.	Homo sapiens	Expression profiling by array	10	16	4	1	0	1	1	1	0	0	IPF_vs_Ctrl
GSE52463|||IPF_vs_Ctrl	GSE52463	Transcriptome analysis reveals differential splicing events in IPF lung tissue.	Homo sapiens	Expression profiling by high throughput sequencing	6	4	6	1	1	1	1	0	1	1	IPF_vs_Ctrl
GSE53845|||IPF_vs_Ctrl	GSE53845	Heterogeneous gene expression signatures correspond to distinct lung pathologies and biomarkers of disease severity in idiopathic pulmonary fibrosis.	Homo sapiens	Expression profiling by array	39	7	5	1	1	0	1	1	0	1	IPF_vs_Ctrl
GSE5774|||FamilialIPF_vs_Ctrl	GSE5774	Gene expression profiling of familial and sporadic interstitial pneumonia.	Homo sapiens	Expression profiling by array	6	7	6	1	0	1	1	1	1	1	FamilialIPF_vs_Ctrl
GSE5774|||FamilialIPF_vs_IPF	GSE5774	Gene expression profiling of familial and sporadic interstitial pneumonia.	Homo sapiens	Expression profiling by array	6	13	6	1	0	1	1	1	1	1	FamilialIPF_vs_IPF
GSE5774|||IPF_vs_Ctrl	GSE5774	Gene expression profiling of familial and sporadic interstitial pneumonia.	Homo sapiens	Expression profiling by array	13	7	4	1	0	1	0	0	1	1	IPF_vs_Ctrl
GSE60880|||Ctrl/EGF_vs_Ctrl	GSE60880	CausalR: extracting mechanistic sense from genome scale data.	Homo sapiens	Expression profiling by array	6	5	4	1	0	1	1	1	0	0	Ctrl/EGF_vs_Ctrl
GSE60880|||Ctrl/IL1_vs_Ctrl	GSE60880	CausalR: extracting mechanistic sense from genome scale data.	Homo sapiens	Expression profiling by array	6	5	1	1	0	0	0	0	0	0	Ctrl/IL1_vs_Ctrl
GSE60880|||Ctrl/TGFb_vs_Ctrl	GSE60880	CausalR: extracting mechanistic sense from genome scale data.	Homo sapiens	Expression profiling by array	6	5	3	1	0	0	1	1	0	0	Ctrl/TGFb_vs_Ctrl
GSE68239|||IPFfibrotic_vs_HealthyPool	GSE68239	Restored alveolar epithelial differentiation and reversed human lung fibrosis upon Notch inhibition	Homo sapiens	Expression profiling by array	9	pooled	3	0	1	1	0	0	1	0	IPFfibrotic_vs_HealthyPool
GSE68239|||IPFfibrotic_vs_IPFnonFibrotic	GSE68239	Restored alveolar epithelial differentiation and reversed human lung fibrosis upon Notch inhibition	Homo sapiens	Expression profiling by array	9	10	3	0	1	0	0	1	1	0	IPFfibrotic_vs_IPFnonFibrotic
GSE68239|||IPFnonFibrotic_vs_HealthyPool	GSE68239	Restored alveolar epithelial differentiation and reversed human lung fibrosis upon Notch inhibition	Homo sapiens	Expression profiling by array	10	pooled	4	0	1	1	1	0	1	0	IPFnonFibrotic_vs_HealthyPool
GSE70866|||IPF_vs_Ctrl	GSE70866	BAL Cell Gene Expression Is Indicative of Outcome and Airway Basal Cell Involvement in Idiopathic Pulmonary Fibrosis.	Homo sapiens	Expression profiling by array	45	16	4	1	1	0	0	0	1	1	IPF_vs_Ctrl
GSE71351|||RapidIPF_vs_Ctrl	GSE71351	Gene profile of fibroblasts identify relation of CCL8 with idiopathic pulmonary fibrosis.	Homo sapiens	Expression profiling by array	4	3	4	0	1	1	1	0	1	0	RapidIPF_vs_Ctrl
GSE71351|||RapidIPF_vs_SlowIPF	GSE71351	Gene profile of fibroblasts identify relation of CCL8 with idiopathic pulmonary fibrosis.	Homo sapiens	Expression profiling by array	2	3	1	0	1	0	0	0	0	0	RapidIPF_vs_SlowIPF
GSE71351|||SlowIPF_vs_Ctrl	GSE71351	Gene profile of fibroblasts identify relation of CCL8 with idiopathic pulmonary fibrosis.	Homo sapiens	Expression profiling by array	2	3	2	0	1	0	1	0	0	0	SlowIPF_vs_Ctrl
GSE72073|||IPF_vs_Ctrl	GSE72073	Down-regulation of USP13 mediates phenotype transformation of fibroblasts in idiopathic pulmonary fibrosis.	Homo sapiens	Expression profiling by array	4	3	2	0	0	0	0	0	1	1	IPF_vs_Ctrl
GSE83717|||IPF_vs_Ctrl	GSE83717	Identification and validation of differentially expressed transcripts by RNA-sequencing of formalin-fixed, paraffin-embedded (FFPE) lung tissue from patients with Idiopathic Pulmonary Fibrosis.	Homo sapiens	Expression profiling by high throughput sequencing	6	5	6	0	1	1	1	1	1	1	IPF_vs_Ctrl
GSE92592|||IPF_vs_Ctrl	GSE92592	 Cellular senescence mediates fibrotic pulmonary disease. 	Homo sapiens	Expression profiling by high throughput sequencing	19	18	2	1	1	0	0	0	0	0	IPF_vs_Ctrl
GSE93606|||IPF_vs_Ctrl	GSE93606	Host-Microbial Interactions in Idiopathic Pulmonary Fibrosis.	Homo sapiens	Expression profiling by array	39	16	5	1	1	0	1	0	1	1	IPF_vs_Ctrl
GSE99621|||IPF_vs_Ctrl	GSE99621	Transcriptomic evidence of immune activation in macroscopically normal-appearing and scarred lung tissues in idiopathic pulmonary fibrosis 	Homo sapiens	Expression profiling by high throughput sequencing	8	8	6	1	1	1	0	1	1	1	IPF_vs_Ctrl
GSE99621|||IPFfibrotic_vs_IPFnonFibrotic	GSE99621	Transcriptomic evidence of immune activation in macroscopically normal-appearing and scarred lung tissues in idiopathic pulmonary fibrosis 	Homo sapiens	Expression profiling by high throughput sequencing	5	10	3	0	1	0	1	1	0	0	IPFfibrotic_vs_IPFnonFibrotic
GSE99621|||IPFnonFibrotic_vs_Ctrl	GSE99621	Transcriptomic evidence of immune activation in macroscopically normal-appearing and scarred lung tissues in idiopathic pulmonary fibrosis 	Homo sapiens	Expression profiling by high throughput sequencing	10	8	6	1	1	1	0	1	1	1	IPFnonFibrotic_vs_Ctrl
GSE103355|||Fra2tg_vs_WT	GSE103355	Fra-2–expressing macrophages promote lung fibrosis	Mus musculus	Expression profiling by high throughput sequencing	3	3	5	1	1	1	0	0	1	1	Fra2tg_vs_WT
GSE16846|||BleomycinD14_vs_Ctrl	GSE16846	Increased local expression of coagulation factor X contributes to the fibrotic response in human and murine lung injury.	Mus musculus	Expression profiling by array	3	3	2	0	0	0	0	0	1	1	BleomycinD14_vs_Ctrl
GSE18800|||BleomycinD14_vs_BleomycinD7	GSE18800	Prostaglandin F(2alpha) receptor signaling facilitates bleomycin-induced pulmonary fibrosis independently of transforming growth factor-beta.	Mus musculus	Expression profiling by array	3	4	4	1	1	1	0	0	1	0	BleomycinD14_vs_BleomycinD7
GSE18800|||BleomycinD14_vs_Ctrl	GSE18800	Prostaglandin F(2alpha) receptor signaling facilitates bleomycin-induced pulmonary fibrosis independently of transforming growth factor-beta.	Mus musculus	Expression profiling by array	3	4	4	1	1	0	1	1	0	0	BleomycinD14_vs_Ctrl
GSE18800|||BleomycinD7_vs_Ctrl	GSE18800	Prostaglandin F(2alpha) receptor signaling facilitates bleomycin-induced pulmonary fibrosis independently of transforming growth factor-beta.	Mus musculus	Expression profiling by array	4	4	5	1	1	0	1	1	0	1	BleomycinD7_vs_Ctrl
GSE25640|||BleomycinD21_vs_Ctrl	GSE25640	FIZZ2/RELM-β induction and role in pulmonary fibrosis.	Mus musculus	Expression profiling by array	3	3	6	1	1	1	1	0	1	1	BleomycinD21_vs_Ctrl
GSE34814|||BleomycinD14_vs_Ctrl	GSE34814	miR-199a-5p Is upregulated during fibrogenic response to tissue injury and mediates TGFbeta-induced lung fibroblast activation by targeting caveolin-1.	Mus musculus	Expression profiling by array	3	3	5	1	1	0	0	1	1	1	BleomycinD14_vs_Ctrl
GSE37635|||BleomycinD14_vs_BleomycinD7	GSE37635	Novel combination of collagen dynamics analysis and transcriptional profiling reveals fibrosis-relevant genes and pathways 	Mus musculus	Expression profiling by array	4	6	2	0	1	0	0	0	0	1	BleomycinD14_vs_BleomycinD7
GSE37635|||BleomycinD14_vs_Ctrl	GSE37635	Novel combination of collagen dynamics analysis and transcriptional profiling reveals fibrosis-relevant genes and pathways 	Mus musculus	Expression profiling by array	4	7	5	0	1	1	1	1	0	1	BleomycinD14_vs_Ctrl
GSE37635|||BleomycinD7_vs_Ctrl	GSE37635	Novel combination of collagen dynamics analysis and transcriptional profiling reveals fibrosis-relevant genes and pathways 	Mus musculus	Expression profiling by array	6	7	5	0	1	1	1	0	1	1	BleomycinD7_vs_Ctrl
GSE40151|||BleomycinD14_vs_Ctrl	GSE40151	Bleomycin induces molecular changes directly relevant to idiopathic pulmonary fibrosis: a model for active disease.	Mus musculus	Expression profiling by array	16	16	2	0	1	1	0	0	0	0	BleomycinD14_vs_Ctrl
GSE43695|||BleomycinD5_vs_Ctrl	GSE43695	Expression profiling of genes regulated by Fra-1/AP-1 transcription factor during bleomycin-induced pulmonary fibrosis.	Mus musculus	Expression profiling by array	3	3	4	1	0	1	0	1	1	0	BleomycinD5_vs_Ctrl
GSE66634|||TGFa_vs_Ctrl	GSE66634	Fibrocytes Regulate Wilms Tumor 1-Positive Cell Accumulation in Severe Fibrotic Lung Disease. 	Mus musculus	Expression profiling by high throughput sequencing	3	3	2	1	0	0	1	0	0	0	TGFa_vs_Ctrl
GSE77326|||BleomycinD21_vs_Ctrl	GSE77326	-	Mus musculus	Expression profiling by array	6	6	3	0	1	0	1	1	0	0	BleomycinD21_vs_Ctrl
GSE94522|||BleomycinD14_vs_Ctrl	GSE94522	Depletion of club cells attenuates bleomycin-induced lung injury and fibrosis in mice	Mus musculus	Expression profiling by array	3	3	4	1	0	1	1	0	1	0	BleomycinD14_vs_Ctrl
GSE94699|||CD11b_bleo_D8_vs_SiglecF_naive_D0	GSE94699	Deletion of c-FLIP From CD11b hi Macrophages Prevents Development of Bleomycin-induced Lung Fibrosis	Mus musculus	Expression profiling by high throughput sequencing	3	3	2	0	1	0	0	1	0	0	CD11b_bleo_D8_vs_SiglecF_naive_D0
GSE94699|||SiglecF_bleo_D8_vs_CD11b_bleo_D8	GSE94699	Deletion of c-FLIP From CD11b hi Macrophages Prevents Development of Bleomycin-induced Lung Fibrosis	Mus musculus	Expression profiling by high throughput sequencing	3	3	2	0	1	0	0	1	0	0	SiglecF_bleo_D8_vs_CD11b_bleo_D8
GSE94699|||SiglecF_bleo_D8_vs_SiglecF_naive_D0	GSE94699	Deletion of c-FLIP From CD11b hi Macrophages Prevents Development of Bleomycin-induced Lung Fibrosis	Mus musculus	Expression profiling by high throughput sequencing	3	3	2	0	1	0	1	0	0	0	SiglecF_bleo_D8_vs_SiglecF_naive_D0
GSE98468|||BleomycinD14_vs_Ctrl	GSE98468	Metabolic characterization and RNA profiling of alveolar macrophages in lung fibrosis	Mus musculus	Expression profiling by high throughput sequencing	3	3	5	1	1	1	0	0	1	1	BleomycinD14_vs_Ctrl
